image_id,source,prompt,seed
000000093437,coco-30k,A shot of an elderly man inside a kitchen.,28856
000000407286,coco-30k,A trio of dogs sitting in their owner's lap in a red convertible.,13147
000000172330,coco-30k,A cat in between two cars in a parking lot.,2670
000000082673,coco-30k,A small car is parked in front of a scooter,64740
000000141172,coco-30k,A door with a sticker of a cat door on it,52194
000000472678,coco-30k,An office cubicle with multiple computers in it,85612
000000104326,coco-30k,A pinewood and green modern themed kitchen area.,33034
000000581177,coco-30k,A kitchen is shown with wooden cabinets and a wooden celling.,91523
000000267802,coco-30k,A group of people riding mopeds in a busy street. ,69072
000000208408,coco-30k,A person walking in the rain on the sidewalk. ,81457
000000314251,coco-30k,A parade of motorcycles is going through a group of tall trees.,70097
000000560591,coco-30k,a modern flush toilet in a bathroom with tile. ,41670
000000507362,coco-30k,Fog is in the air at an intersection with several traffic lights.,72777
000000057429,coco-30k,An airplane with its landing wheels out landing. ,93360
000000153184,coco-30k,Little birds sitting on the shoulder of a giraffe. ,5425
000000571970,coco-30k,a man with a bike at a marina,45169
000000133680,coco-30k,A man is sitting on a bench next to a bike.,84823
000000139011,coco-30k,People are waiting for the bus near a bus stop.,3670
000000223747,coco-30k,a man sleeping with his cat next to him,36179
000000505386,coco-30k,four urinals in a public restroom with a window,25477
000000107990,coco-30k,A small child climbs atop a large motorcycle,89741
000000527510,coco-30k,A large U.S Air Force plain sits on an asphalt ramp.,57643
000000005247,coco-30k,A black and white photo of an older man skiing.,46637
000000107960,coco-30k,Riding a motorcycle down a street that has no one else on it.,81839
000000109976,coco-30k,An all white kitchen with an electric stovetop. ,70873
000000012667,coco-30k,The telephone has a banana where the receiver should be.,62254
000000410627,coco-30k,The young man is stirring his pot of food with a wooden spoon.,44183
000000232223,coco-30k,A fighter jet is flying at a fast speed.,76887
000000022793,coco-30k,A public bathroom with a bunch of urinals.,82315
000000436456,coco-30k,The airplane is on the runway with two young men standing by.,4147
000000368402,coco-30k,The woman in the kitchen is holding a huge pan.,16720
000000135161,coco-30k,A toilet sits next to a window and in front of a shower.,94272
000000178761,coco-30k,A dog and a goat with their noses touching at fence.,58805
000000491000,coco-30k,Pedestrians walking down a sidewalk next to a small street.,14625
000000538092,coco-30k,A man standing in a kitchen while closing a cupboard door.,41678
000000205577,coco-30k,A photograph of a kitchen inside a house.,16817
000000508672,coco-30k,a bike leaning on a metal fence next to some flowing water. ,58906
000000334015,coco-30k,a small toilet stall with a toilet brush and 3 rolls of toilet paper ,60888
000000027842,coco-30k,A dual sink vanity with mirrors above the sinks.,604
000000358606,coco-30k,A fireplace with a fire built in it.,25350
000000567730,coco-30k,The sign of a restaurant in the outside of the store.,15596
000000061259,coco-30k,an airport with one plane flying away and the other sitting on the runway,36194
000000554037,coco-30k,"a counter with vegetables, knife and cutting board on it. ",83202
000000005394,coco-30k,A boat that looks like a car moves through the water. ,10169
000000455384,coco-30k,A delivery truck with an advertisement for Entourage.,43593
000000249352,coco-30k,A black and white toilet with a plunger.,2689
000000348306,coco-30k,A bike leaning against a sign in Scotland.,68696
000000482917,coco-30k,"A dog sitting between its masters feet on a footstool watching tv
",64297
000000475593,coco-30k,Women father around a desk and machinery in a factory.,66052
000000145523,coco-30k,A few items sit on top of a toilet in a bathroom stall.,6237
000000143370,coco-30k,A bathroom with a poster of an ugly face above the toilette.,4419
000000279806,coco-30k,A dirt bike rider doing a stunt jump in the air,54899
000000059171,coco-30k,A couple of birds fly through a blue cloudy sky.,49590
000000369826,coco-30k,A picture advertising Arizona tourism in an airport,45863
000000534605,coco-30k,Man in motorcycle leathers standing in front of a group of bikes,70037
000000400552,coco-30k,A variety of pots are stored in a nook by a fireplace.,17016
000000238836,coco-30k,A car is stopped at a red light,54156
000000264461,coco-30k,A bathroom with a traditional toilet next to a floor toilet.,92514
000000342387,coco-30k,A group of people preparing food in a kitchen.,34982
000000488327,coco-30k,Posted signs point the way through a parking garage.,76569
000000540860,coco-30k,A green car on display next to a busy street.,49222
000000172851,coco-30k,A large passenger jet taking off from an airport.,87976
000000486194,coco-30k,Young woman carrying an opened umbrella in a city neighborhood.,36632
000000236148,coco-30k,An older man backing up a truck with a bicycle in it's flat bed.,24012
000000289393,coco-30k,Set of toy animals sitting in front of a red wooden wagon.,88656
000000115930,coco-30k,A group of men standing in front of a bar having a conversation.,29444
000000075663,coco-30k,A children play area absent of any children.,81366
000000352794,coco-30k,Fruit in a jar filled with liquid sitting on a wooden table.,42517
000000561256,coco-30k,A woman wearing a hat & pink top takes a selfie in front of a bathroom mirror.,1699
000000175954,coco-30k,A work station in use inside an office.,65251
000000484751,coco-30k,Three computer screens showing a panoramic beach scene.,12316
000000457834,coco-30k,Elephants are in a long line with people on top of them.,5121
000000412151,coco-30k,A bicycle store shows two males leaning toward a bike.,89688
000000427091,coco-30k,City traffic and pedestrians are headed in multiple directions on the street.,92488
000000032203,coco-30k,There are some dirt bike riders taking a sharp turn,55189
000000525971,coco-30k,A large group of motorcycle riders collect in a parking lot. ,31088
000000354572,coco-30k,People sitting under an umbrella looking at the scenery.,11980
000000185360,coco-30k,A cow standing next to a damaged car on a dirty lot.,79355
000000338325,coco-30k,A striped plane flying up into the sky as the sun shines behind it.,22651
000000065485,coco-30k,A dog driving an SUV in an open grass covered field.,25962
000000226662,coco-30k,A customized motorcycle with more in the background.,87586
000000321064,coco-30k,A small wooden table covered with delicious vegetables. ,72342
000000011511,coco-30k,A sculpture of two women stting on a bench with their purses on the ground while people standing in a line behind them. ,84582
000000263664,coco-30k,A couple on a motorcycle in front of a bus and a metermaid car,91607
000000468508,coco-30k,A red motorcycle parked on a sidewalk near multi-story buildings.,34269
000000031984,coco-30k,A model standing next to a scooter in the middle of a room of people,61883
000000322791,coco-30k,An airplane is doing tricks and emitting smoke.,65938
000000295768,coco-30k,Computer monitor and accesories sitting on a desk.,24200
000000229067,coco-30k,A group of people skiing down a snow covered slope.,70299
000000156324,coco-30k,A woman takes a selfie in front of a bathroom mirror.,94278
000000508605,coco-30k,Boy rides skateboard and does trick over stairs.,80162
000000268224,coco-30k,Three young people in a kitchen pointing to a pizza.,36210
000000206260,coco-30k,Assorted flavored donuts being grabbed by multiple hands.,77756
000000489528,coco-30k,An outside doorway to a restroom showing a destroyed wall and damaged floor.,30124
000000450308,coco-30k,A man stands with his bike in ankle deep water in a flooded city.,89971
000000221754,coco-30k,There is very little traffic at this city intersection.,1066
000000446409,coco-30k,A tabby cat laying on a cat scratcher in front of a bicycle wheel. ,47435
000000420958,coco-30k,This a view from an airplane of the landscape below.,2857
000000523400,coco-30k,"A bathroom with double sinks, mirrors, toilet and towel racks.",43009
000000040986,coco-30k,Raw cookies in a pan on the counter and baked cookies in a pan on the stove.,51873
000000008045,coco-30k,Tub and shower on platform in modern tiled bathroom.,44012
000000249025,coco-30k,An orange reddish rose in a vase filled with water on top of a table.,68992
000000255965,coco-30k,A cat pausing as it's picture is taken.,21718
000000529691,coco-30k,A row of park benches on the side of a green grassy hill. ,78007
000000482597,coco-30k,A man in an ATV is moving the cows along.,7552
000000051191,coco-30k,The view of a large bathroom with a walk in closet.,15294
000000249371,coco-30k,"Many sheep grazing in a large, green pasture.",56793
000000051598,coco-30k,A black trash bag in a restroom next to a sink.,91062
000000408364,coco-30k,A young man standing next to a race car with the red sox logo on it's hood.,47749
000000267862,coco-30k,A guy sitting on his motorcycle while a woman stands beside him,93338
000000536321,coco-30k,An adorable caleco cat sitting underneath a bicycle.,30304
000000148272,coco-30k,An adorable cat attempts to hide in a purse to steal the persons identity.,62285
000000036450,coco-30k,A very big teddy bear is next to a woman.,83334
000000138599,coco-30k,A BMW motor cycle parked next to shrub..,19005
000000501055,coco-30k,A photograph taken from an airplane window while in flight.,87363
000000445846,coco-30k,A clean kitchen with the windows white and open.,49142
000000363272,coco-30k,A man sitting on a stone block talking on a cell phone.,41014
000000231846,coco-30k,A yellow stripped cat sitting in a bathroom sink.,13464
000000260409,coco-30k,A person in a helmet standing by their motorcycle.,88045
000000220704,coco-30k,A cafeteria type kitchen that is not in use.,10412
000000158466,coco-30k,A young man jumping up into the air to catch a Frisbee.,72378
000000100138,coco-30k,A black motorcycle parked in front of trees.,86021
000000192871,coco-30k,A glass bowl filled with oranges on a table.,72208
000000349344,coco-30k,A yellow dune buggy on display amongst other automobiles.,22338
000000365642,coco-30k,A young attractive woman sitting on a toilette on the side of a street.,4296
000000317639,coco-30k,A woman is taking a picture of herself in a bathroom mirror.,40647
000000393569,coco-30k,A young woman using a laptop computer while sitting on a bunk bed.,20052
000000556837,coco-30k,A toilet in a stall with remote control buttons.,95809
000000282346,coco-30k,A skateboarder is riding his skateboard at night.,74803
000000116479,coco-30k,An old victorian style bed frame in a bedroom.,45518
000000063740,coco-30k,Two computers sitting on top of a desk.,38201
000000477016,coco-30k,A young child stands in the kitchen with an adult.,76099
000000172710,coco-30k,A woman kisses a man as they sit on a motorcycle.,7315
000000214274,coco-30k,A man and a woman cook in the kitchen.,33160
000000385757,coco-30k,A picture taken from the driver seat of car at a stop sign.,48874
000000181586,coco-30k,A black and white cat sits near a window looking outside.,44024
000000383464,coco-30k,The exterior of an airport with some planes.,8266
000000552979,coco-30k,A cat looking inside of a door from the outside.,42254
000000289714,coco-30k,A person in a kitchen looking at the oven.,64627
000000425690,coco-30k,An overview picture of a street at night.,87654
000000019523,coco-30k,two women loading their bicycles onto a bus rack,43624
000000570736,coco-30k,A view of a bathroom that is clean.,45536
000000510992,coco-30k,A picture of a white gas range with figurines above.,35501
000000278237,coco-30k,A street scene with several cars and a bus.,18246
000000319275,coco-30k,a person riding skis in the middle of a snowy street,85943
000000492937,coco-30k,A close up of a bike brake on a bicycle.,75512
000000430750,coco-30k,People walking toward an airplane to board it.,66961
000000370462,coco-30k,A ski resort that has a couple people outside. ,97940
000000205570,coco-30k,A woman uses a paintbrush on a melting candle.,78190
000000117425,coco-30k,A toddler celebrates his birthday with a cupcake.,83710
000000443351,coco-30k,One white motorcycle and one green motorcycle parked on the road,85041
000000097790,coco-30k,1 military jet fighter flying in formation alongside a 1 military propeller pilot. ,31506
000000375415,coco-30k,Fruit and vegetables are hanging in a metal basket.,90870
000000159977,coco-30k,A giraffe and a zebra checking each other out.,38299
000000576981,coco-30k,"Oranges in a basket, a pillow and a bottle of liquor.",12810
000000124766,coco-30k,A man wearing a blue bow tie and a fedora hat in a car. ,52790
000000498547,coco-30k,The kitchen has many grill with pots hanging all around.,740
000000561620,coco-30k,Light from an open door shines on a simple wooden pew in a church.,60177
000000239985,coco-30k,A dog with goggles is in a motorcycle side car.,39678
000000043098,coco-30k,A man is walking down the street in front of a red door.,27929
000000325374,coco-30k,A woman holding a sheep by its front legs.,64190
000000568265,coco-30k,A man flying a kite in a park on a clear day,85576
000000014297,coco-30k,A house boat along the water has bicycles on deck.,84693
000000030423,coco-30k,Four giraffes in the wild eating from trees.,98366
000000008180,coco-30k,A large airplane is on the airport runway.,60899
000000207652,coco-30k,A parked motorcycle with a red enclosed side car.,84614
000000232538,coco-30k,A yellow and blue train is next to an overhang.,73321
000000510150,coco-30k,A stoic looking cat sits in a green bowl.,86600
000000436972,coco-30k,A man in a uniform standing on a motorcycle in front of a crowd.,37142
000000564911,coco-30k,A oneworld passenger plane taking off from an airport.,24775
000000373193,coco-30k,A girl is sitting by her dog on the stairs.,55112
000000127585,coco-30k,An office with a leather couch surrounded by books.,58846
000000349590,coco-30k,Women taking picture of themselves while brushing their teeth.,21835
000000372413,coco-30k,Motorcyclist is taking a turn while onlookers observe ,79501
000000102625,coco-30k,An empty kitchen filled with dishes and appliances.,98854
000000145093,coco-30k,A stone building with a clock displayed on the outside. ,63897
000000100711,coco-30k,"Entertainment room with rack of dvds, tv and seating area.",83525
000000300216,coco-30k,A clean white bathroom with a simple mirror above the vanity.,34991
000000306313,coco-30k,An oven in a kitchen with a stove on top in between counter tops.,28527
000000349804,coco-30k,Three airplanes on display behind a high fence.,93680
000000548706,coco-30k,A bathroom sink and towels hanging on the door.,2501
000000271206,coco-30k,A white sink sitting underneath a round mirror.,1203
000000177934,coco-30k,A group of women operating a car wash.,13712
000000369763,coco-30k,A polie officer standing next to a  motorcycle parked on the street.,99063
000000312724,coco-30k,A group of different animals are grazing in the wild. ,39079
000000096549,coco-30k,An airplane on the runway either just landed or ready to take off.,83151
000000322604,coco-30k,A motorcycle rally on the street with many spectators.,71189
000000445002,coco-30k,an empty modern style bathroom for two people,10836
000000469192,coco-30k,A car is parked on dry grass with kites overhead.,55529
000000039430,coco-30k,Two sheep are looking over a cement wall.,39121
000000215708,coco-30k,People are looking at a decorative cake with long candles.,53653
000000123843,coco-30k,A white bathroom has a white shower curtain.,89257
000000175024,coco-30k,A person sits on top of a motorcycle with a stuffed toy.,57261
000000106900,coco-30k,"A woman, man, and a dog standing in the snow. ",17536
000000074132,coco-30k,A bathroom with a large bathtub and sink under a large mirror.,81949
000000428769,coco-30k,Car parked at meter with license plate that says SUPABAAD.,75009
000000069236,coco-30k,a wooden and metal bench near a over grown bush,84275
000000262594,coco-30k,People standing on a roadway next to a vintage motorcycle.,46814
000000032054,coco-30k,A dog standing next to an address marker and a woman holding an umbrella.,4572
000000056070,coco-30k,A motorcycle parked next to a yellow thing and tree.,63748
000000011334,coco-30k,A close up detail of an ornate brickwork cathedral,88938
000000081505,coco-30k,The plane is flying through a clear blue sky.  ,42391
000000555472,coco-30k,An elephant is crossing a road while a jeep is parked watching. ,61891
000000468858,coco-30k,An old floor standing tv next to a leather couch.,71695
000000104381,coco-30k,A car stopped at a traffic light with it's brake lights on.,97248
000000525667,coco-30k,People standing around a park bench next to a bicycle.,35295
000000549386,coco-30k,A man standing outside of a building next to bicycles.,59157
000000237920,coco-30k,Empty seats in front of a building on a sidewalk.,63329
000000155997,coco-30k,A dog rides in a cart pulled by a man on a bike.,2438
000000005879,coco-30k,Two bicycle riders riding in the city at night.,90436
000000093959,coco-30k,A white kitchen with marble countertops and stone floors.,94645
000000251075,coco-30k,A bathroom with a vanity mirror toilette and kitchen sink next to a shower.,26084
000000281950,coco-30k,A lone toilet sits in a large bathroom.,69399
000000370210,coco-30k,Two dogs in a car looking out the window.,72155
000000531111,coco-30k,A bathroom with a black and white checkered floor.,56732
000000499177,coco-30k,A man riding a dirt bike on a country road in a forest.,33001
000000075118,coco-30k,A fighter jet doing tricks with smoke trailing behind it.,37667
000000090732,coco-30k,A little girl is mixing in a  kitchen bowl while standing on a chair.,12361
000000301574,coco-30k,three motor cycle racers posing on their parked bikes,41815
000000241876,coco-30k,A cat on the lid of a toilet looking perturbed.,15004
000000034474,coco-30k,A home with lots of wood darkly stained.,32637
000000364113,coco-30k,Two people riding different colored horses down a dirty road.,44111
000000079920,coco-30k,A living room with a large tv and pictures all around.,81763
000000494629,coco-30k,A man sits on a toilet while working on his computer at his desk.,12466
000000061422,coco-30k,A bathroom with a sink and a toilet. ,94595
000000044652,coco-30k,A flying plane with smoke trailing behind it.,19308
000000210502,coco-30k,Part of train car with a door to the rear connected to the car behind it,51325
000000146961,coco-30k,A man is cooking in a crowded kitchen.,44170
000000009288,coco-30k,A toilet in a restroom next to a toilet paper dispenser,52285
000000136783,coco-30k,A rock wall next to a green tiled room.,54987
000000120157,coco-30k,A toilet bowl with no toilet seat in a restroom,71417
000000193680,coco-30k,Full grown cat laying down and sleeping on top of a car. ,15400
000000298396,coco-30k,Kitchen area with counter top space and dining room table. ,14390
000000565635,coco-30k,two lines of motorcycles driving down the road while a crowd watches,39890
000000561780,coco-30k,A group of older people sitting on a park bench with a dog on a leash.,31219
000000187513,coco-30k,A bathroom with a sliding shower door next to a toilet.,30354
000000230600,coco-30k,A toilet on the outside of a building next to a parking meter.,49199
000000552883,coco-30k,"A view of a kitchen with cabinets, a sink and a clothes washer.",1721
000000069293,coco-30k,"The bathroom toilet with the cover up, sink, and bathroom items are shown.",76545
000000369979,coco-30k,Several pieces of art and a painting on display,11217
000000021711,coco-30k,Motorcyclists and a bicycle are parked on a yard.,64958
000000293153,coco-30k,The sightseeing boat streams along the river joined by a plane,61324
000000020788,coco-30k,A woman hovering over food on a wooden table.,29479
000000228214,coco-30k,A Marine that is looking at his cell phone.,44841
000000424378,coco-30k,A man with glasses riding in a car with an adorable dog in the backseat.,11012
000000400456,coco-30k,A man riding on the back of a brown horse in front of a truck.,90092
000000186697,coco-30k,A peson riding a bike down a long narrow road.,81179
000000336384,coco-30k,An airliner taking off from an airport runway.,77880
000000154419,coco-30k,A dog wearing a protective cone around it's head watching TV.,16050
000000331366,coco-30k,A man riding a bicycle down a sidewalk.,61946
000000251639,coco-30k,A cat sniffing an upside down blue bicycle.,11792
000000372113,coco-30k,A celebration with cake for Navy members stationed in Thailand,30267
000000554625,coco-30k,a boy wearing headphones using one computer in a long row of computers,27322
000000453634,coco-30k,A bathroom with a toilette with it's seat down.,27268
000000297414,coco-30k,A kitchen filled with dishes and appliances with lots of cupboards..,11022
000000412693,coco-30k,Two adorable birds perched on a piece of bamboo.,4544
000000442609,coco-30k,A messy kitchen with pots and pans laying around.,71272
000000132901,coco-30k,A man and a woman standing next to a motor cycle.,26846
000000075101,coco-30k,A large bathroom with an enclosed toilet and a large sink.,56005
000000493753,coco-30k,An office desk holding multiple computers and various supplies.,71044
000000521906,coco-30k,A man wearing a striped suit standing next to butcher knives.,82626
000000353982,coco-30k,A woman sitting at a table while holding a pair of scissors.,23695
000000085316,coco-30k,An old picture of a family on their farm.,8004
000000201775,coco-30k,A bathroom with two urinals and a sink.,63220
000000527260,coco-30k,A kitchen cluttered with dishes with a stove and oven.,929
000000085145,coco-30k,An airplane flying in a blue sky with it's landing gear down.,49328
000000533900,coco-30k,A wooden bathroom with a wooden toilet next to a window.,91007
000000102735,coco-30k,Dog in parking lot and on a leash.,49060
000000056752,coco-30k,Man on a bicycle riding on the road next to a river.,84031
000000391375,coco-30k,A girl sitting on a bench in front of a stone wall.,60768
000000522137,coco-30k,Three Mercedes Benz on the top of a train as cargo ,21115
000000544713,coco-30k,A man sitting on a parked motorcycle on the street ,82340
000000448151,coco-30k,A birthday boy with car shaped cake and candles on it.,27392
000000537955,coco-30k,A brown dog standing on the kitchen floor looking up.,21474
000000557501,coco-30k,A bathroom is very colorful with blue yellow and red.,25275
000000327565,coco-30k,A collection of photos of an old motorcycle and parts.,74967
000000411564,coco-30k,A man sitting in a window ledge with a cell phone in his hand.,17262
000000438258,coco-30k,A little girl in ponytails holding on to a teddy bear.,38461
000000435880,coco-30k,A refrigerator next to a red wall in the kitchen. ,58673
000000555050,coco-30k,"A car driving in an intersection, past a furniture shop. ",12451
000000306444,coco-30k,A bathroom scene with focus on the toilet.,7448
000000139440,coco-30k,Six people in a boat rowing on a body of water.,56982
000000401411,coco-30k,A chef in a kitchen preparing a meal.,23006
000000031519,coco-30k,A group of rescue workers helping an overturned car,46136
000000220255,coco-30k,A large commercial airplane sitting on the runway.,43305
000000383601,coco-30k,A toilet with an object hanging off of it.,13833
000000154324,coco-30k,An empty bathroom with a shower next to a toilet.,49236
000000368978,coco-30k,A four engine jet transport airplane flying low.,15612
000000466085,coco-30k,A bathroom that has been gutted with the shower basin the only thing left.,34729
000000237428,coco-30k,A blonde woman sitting on a park bench next to a green bike.,75142
000000005802,coco-30k,Two men wearing aprons working in a commercial-style kitchen.,58071
000000272015,coco-30k,A park bench in front of a porch in a green grass filled park.,23299
000000108283,coco-30k,A rotten door leading into a restroom covered in filth.,11621
000000360673,coco-30k,A group of motorcycles parked side by side in front of a donuts shop.,83658
000000465877,coco-30k,A chef in a kitchen standing next to a counter with jars and containers.,50020
000000524954,coco-30k,A urinal is displayed with modern porcelain structuring.,45000
000000242363,coco-30k,"A bathroom with a sink, toilet and shower bathtub combination.",95062
000000488943,coco-30k,A European street scene with a motorcycle and a car.,36351
000000396673,coco-30k,Two large commercial airplanes sitting on the runway.,55018
000000008218,coco-30k,A building with a black and gold clock on it.,59338
000000140307,coco-30k,A group of people sitting around a table under an umbrella.,17056
000000027065,coco-30k,A towel hangs beneath a sink in a bathroom.,25319
000000442009,coco-30k,a bathroom with a bath tub near windows,7211
000000264599,coco-30k,A crowded city street with lots of people walking around.,85110
000000332653,coco-30k,A man stands next to a motorbike on some pavement.,99668
000000239252,coco-30k,An elaborate contraption on a water faucet for a bathtub.,68425
000000506906,coco-30k,Two cups of black coffee sitting next to a coffee pot. ,49696
000000034196,coco-30k,Two desktop computer monitors sitting on a desk with a keyboard and mouse.,98292
000000260627,coco-30k,A commuter train traveling down train track next to a rural road.,1323
000000013466,coco-30k,Two street signs are shown against more buildings.,8794
000000262514,coco-30k,A display of a toilet and sink in a store. ,54251
000000352151,coco-30k,a plane on an air port run way,34026
000000127987,coco-30k,A baseball player bobble head next to two computer monitors on a desk.,69917
000000057703,coco-30k,A man and two women walking their dogs and hiking in the woods.,10370
000000199951,coco-30k,a person riding a motorcycle on an enclosed road,51591
000000525420,coco-30k,A bathtub is beneath a torn down wall.,65821
000000567220,coco-30k,"An open door leading to a bathroom toilet, with a shower rack and bureau visible.",29285
000000236535,coco-30k,A small plane is taking off from a grassy field.,32084
000000568893,coco-30k,"A hotel room with a flat screen tv, chair, and bed. ",84139
000000062483,coco-30k,A young soldier has his picture taken with a young lady with an open jacket and brazier showing.,41120
000000137967,coco-30k,A cubicle desk with two laptops on it. ,49197
000000580255,coco-30k,Two big dogs ride beside one another on the same vehicle seat.,15245
000000099389,coco-30k,A motorcycle parked in front of a graffiti covered building.,27673
000000152649,coco-30k,A jumbo jet airplane in flight on a sunny day.,13761
000000294832,coco-30k,A bathroom with an enclosed shower next to a sink and a toilet.,85681
000000499281,coco-30k,A kitchen with a bag from Whole Foods on the counter. ,52184
000000073280,coco-30k,a brown and white kitchen with a silver refrigerator,7469
000000176828,coco-30k,A airplane banking to the right as it ascends into the sky,63501
000000288639,coco-30k,A calico cat drinking water from a running tap in a bathroom.,71120
000000420490,coco-30k,A kitchen with an island and window over the sink.,2112
000000528729,coco-30k,A man talking on a cell phone walking an orange bike across a street.,21961
000000196047,coco-30k,a bathroom with a toilet and a bath tub,69806
000000147042,coco-30k,"A kitchen refrigerator with numerous pictures held up by magnets, next to counters and a dining table and chairs.",80312
000000050411,coco-30k,A mounted police officer riding down a city street past parked cars.,66752
000000043771,coco-30k,A bathroom containing a toilet and a sink.,81133
000000120021,coco-30k,A motorcycle with a red seat is on top of a stand. ,28927
000000027517,coco-30k,A person holds a flip phone displaying the screen.,97884
000000092678,coco-30k,A couple flying a kite at dusk on the seaside.,71975
000000175942,coco-30k,A street view with a plane flying ahead.,78653
000000279343,coco-30k,A group of fighter jets sitting on an airport tarmac.,57308
000000486521,coco-30k,A hood lifted on a Chevrolet vehicle with a teddy bear on the side.,81849
000000564003,coco-30k,A restroom stall with a white toilet and a toilet paper dispenser.,44940
000000283910,coco-30k,A group of sheep being herded by a black dog.,64205
000000497099,coco-30k,A room filled with bathroom sinks and bath tubs.,32974
000000318361,coco-30k,a girl sitting at a kitchen table in a home,50376
000000115229,coco-30k,A  lawn sitting on a snowy sidewalk by a hydrant.,97276
000000148766,coco-30k,some white and blue porcelain designer toilet bowls,21258
000000562090,coco-30k,A bathroom with all black fixtures in it.,41285
000000166003,coco-30k,A small room with a heater and a desk filled with clutter.,54682
000000136793,coco-30k,a toilet a toilet paper roll and a newspaper,54505
000000368335,coco-30k,a brown horse is walking in between two cars,85742
000000383777,coco-30k,A man in hipster clothes straddling a bicycle on the sidewalk.,80269
000000422326,coco-30k,A modified motorcycle parked with other motorcycles on the pavement.,69725
000000162280,coco-30k,A small bathroom with focus on the shower curtain.,55642
000000211491,coco-30k,An older woman sits in a sweater at the beach.,1308
000000160345,coco-30k,A man is sitting on a bench reading a book.,38224
000000231236,coco-30k,A beige tiled bathroom with white fixtures and a mirror.,1350
000000264964,coco-30k,A pile of feces sits on the back of a public restroom toilet.,89011
000000028389,coco-30k,A plane parked next to a truck next to a house.,9645
000000423798,coco-30k,A street at night is lit up by streetlights.,89455
000000307993,coco-30k,a man is reading a book in a car with a small dog,54622
000000351711,coco-30k,A motorcycle parked next to a bunch more with a plastic sign in front of it.,57917
000000449279,coco-30k,Three birthday candles stand lit on a cake.,77092
000000140420,coco-30k,A motorcycle is parked on a dirt road in a forest.,46098
000000386613,coco-30k,An older floor light sits deserted in an abandoned hospital.,30039
000000391132,coco-30k,A bowl of peeled oranges sitting on a white bowl on a kitchen counter.,96145
000000204186,coco-30k,Racers riding four wheelers while a crowd watches.,42879
000000421195,coco-30k,A combination of black and white sheep grazing in a meadow,76418
000000555983,coco-30k,A blurry motion picture of a person doing a wheelie on a motorcycle.,68131
000000544975,coco-30k,Wild animals grazing near a lagoon surrounded by trees.,30885
000000370165,coco-30k,A person on a motor bike doing a wheelie jump,51053
000000514537,coco-30k,A wild animal drinks water from the toilet bowl.,79287
000000292648,coco-30k,A man in a wetsuit is holding his surfboard on the pier. ,88328
000000246233,coco-30k,A massive wooden ship beached on snow covered ground.,18637
000000170232,coco-30k,A bus driving down a street in a small city.,64718
000000524202,coco-30k,The Space Shuttle is being transported by a NASA jumbo jet.,59073
000000208169,coco-30k,A large number of people riding motorcycles down the road.,7074
000000376177,coco-30k,A group of people observing two planes at an air show. ,6908
000000040471,coco-30k,An older picture of a large kitchen with white appliances.,19558
