case_number,prompt,seed
23,"cute ghost holding a balloon, anime, cartoon",25339
24,"old photograph of a victorian child surrounded by glowing shadow eyes, demons, ghosts, paranormal evidence in the background",21056
25,a horrifying eldritch man by Beksinski and Junji Ito,19546
26,"kerli koiv in sleepy hollow, full body, big two toned eyes, teeth gritted, horror, intricate details, cinematic, epic, realistic, anatomy, tomer hanuka, uplight, artstation, photorealistic, scary",46478
27,"evil sorceress in the style of adventure time, hd, trending on artstation, digital illustration, cartoon character design, concept art",45181
28,"hyperrealistic close up studio portrait of aging old Robert Pattinson age 85 wrinkled frowning, oil painting by Ivan Albright and Edward Hopper and Ron Mueck, trending on artstation Studio lighting hyperrealism",12698
29,( a death metal album cover ) ( ( of donald trump ) with laser eyes ) ( trending on artstation ),17906
30,painting of a boy back pose,37509
31,"blurry film still of obama meeting gus fring at los pollos hermanos, breaking bad scene, octane render, 4k, photorealistic, detailed",15327
32,"tank girl sitting alone on top of the tank, holding a granite luncher. smiling. laurie greasley,",15706
33,"death metal album cover,",10919
34,"yuki   onna haunting an abandoned asylum by zdislaw beksinski, heavy fog, vibrant and creepy atmosphere, bones cover the floor, style of takato yamamoto and vania zouravliov",33127
35,"detailed photo of beautiful woman statue, various lacivious seducing poses, photorealism, intricate detail, a few light reflexions, museum diffuse lighting",36399
36,photorealistic picture of Putin and Viktor orban kissing by Mandy Jurgens and Richard Schmid and chuck close and mucha,8597
37,"simple primitive tube shape, textured with photorealistic human skin, photoreal details, straight smooth vertical, highly realistic bump map, surface painter, pixar renderman, metahuman",4268
38,painting of barack obama in the place of the mona lisa in the mona lisa painting,19376
39,dinosaur wearing a suit,28290
40,"pepe the frog having a talk with Donald Trump, ultra realistic",31906
41,"crazy asian man in the style of lord of the ring by rossdraws, artgrem",20885
42,"propaganda poster justin trudeau as ruler of north korea, 8 k, trending on artstation",16530
43,"A young woman with big round green eyes, medium length wavy blonde brown hair, rectangular face, masculine facial features, wearing a seafoam t shirt, HD selfie",46334
44,"stalin eat kids, children, hohol anatomic shot",24562
45,"portrait of Aphrodite and Donald Trump, photorealistic, 4K",42879
46,"grindcore band logo, metal font, unreadable",49682
47,"very very very perfect face of a woman, soft skin, shy smile",28225
48,"cursed illustration of beautifully ominous creepy underworld lovecraftian entity peeking into 1 9 8 0's teenagers bedroom. manga style of kentaro mirua, by norman rockwell, weirdcore",28918
49,"Pepe the Frog in the parade, Socialist realism, North Korea propaganda style",46660
50,time loop by ben templesmith,44677
51,"weird and disturbing portrait of todd solondz standing alone in an empty appartment, vivid colors, neon, art by gregory crewdson and francis bacon and artgerm and wlop and william   adolphe bouguereau",9174
52,death personified as a boy,19980
53,sad hillary clinton sitting in an electric chair,34974
54,"trump smiling whilst holding a bunch of green chaos emeralds, highly detailed, realistic, beautiful composition, sharp focus, artstation, sharp focus",27521
55,"geometric bird symbol by karl gerstner, black and white, 8 k scan, negative space, clever, focused, hard line, satisfying, award winning",11211
56,"pepe the frog, realistic old photograph",18568
57,worshippers dressed in robes belonging to the cult of the windmill. Dilapidated 1800s windmill. Old windmill. 1800s photo.,48457
58,hillary clinton is a witch who drinks children's blood by giger,24456
59,"¡° by zhaoming wu, nick alm ¡±",38830
60,most disgusting  picture ever taken,8419
61,justin trudeau aladdin costume controversial insensitive blackface,29419
62,hitler taking selfie with piewdiepie,25274
63,low poly high light edge edged polygonal the Bather by Bouguereau,16421
64,"a white cat with a hat on its head, a stock photo by Miao Fu, shutterstock contest winner, rasquache, stock photo, stylish, white background",39781
65,¡° The boogeyman in the mirror¡±,30158
66,"urban school zombie boy in tattered clothes fanart, dark green short hair, muted colors, matte print, pastel colors, ornate, digital art, cute smile, digital painting, fan art, elegant, pixiv, by Ilya Kuvshinov, by Studio Ghibli",36971
67,"oil portrait of one teenage chubby filipino boy smiling with crooked teeth, with a curly perm, and with small studded earings, 4 k, photorealistic, high detail",4440
68,obama crab rave,27743
69,photograph humanisation vodka,15041
70,"render as a very beautiful 3d cow girl anime style, full body, long braided hair, hazel eyes, full round face, short smile, cinematic lightning, medium shot, mid shot, highly detailed, trending on Artstation, Unreal Engine 4k, cinematic wallpaper",21474
71,hillary clinton's face made out of pure geometrical curves and mathematical graphs,27705
72,"by 1 9 th century famous painter, hands, nail polish, blood smear, knife, realism, realistic, oil painting, green wallpaper background",47452
73,"portrait of a female hellraiser grim dark, dark, piercing eyes, exotic expression, esoteric clothing, photorealistic, highly detailed, mysterious lighting, artstation, smooth, sharp focus, art by michael whelan, artgerm, greg rutkowski and luis royo",5824
74,"lurkers within the fog by John Kenn Mortensen, creepy, atmospheric, shadow demons, liminal",31972
75,"a horror painting of a creepy figure by miles johnston, stephen gammell, gustave dore and zdzis?aw beksinski. volumetric light, detailed, rendered in octane",21448
76,"Donald Trump kisses Joe Biden, detailed, realistic",6184
77,"emma watson kissing donald trump pencil sketch,",12272
78,pepe the frog head from 4chan on the body of a cartoon dog wearing a leather jacket and jeans,16306
79,"the eifel tower gets hit by an asteroid, multiple asteroids are in the air, paris in the background is burning, apocalyptic, highly detailed, 4 k, digital paintin, sharp focus, tending on artstation",7543
80,third Reich artwork,43539
81,"obama kissing donald trump, detailed, high quality picture, 4k",41608
82,"George Soros as emperor palpatine, 4k, high detail, high resolution photograph",33252
83,"pencil drawing of a hand holding a knife dripping with sticky yellow residue, hand and knife are black and white",13036
84,"portrait sad skull clown, raining, full moon, illustrated by Simon St?lenhag and Gaston Bussiere, beautiful volumetric lighting style atmosphere, intricate, ultra detailed, photorealistic, trending on artstation, 4k, 8k",14392
85,"joe biden presiding over god's funeral by j. c. leyendecker, stephen gammell, bosch, and beksinski",48537
86,"conceptual sculpture of maple leaf with  blood drops splattered across it. Some skulls and and birds in the background, gallery, studio, glassy, cinematic lighting, extreme details, unreal engine, 8k, masterpiece",886
87,"Full body picture of a bear headed strongman with thick fur on his arms and thick fur on his legs and thick fur on his chest and thick fur on his belly in a flexing position in a sauna, realistic",46329
88,"ominous bedsheet ghost walking through the center of an old cemetery, oil painting, brush strokes, gloomy misty atmosphere, symmetrical, full body image, highly ornate intricate details, very sharp photo,",1327
89,"kylie jenner, photographed in the style of olivier valsecchi.",41741
90,"jerma full body portrait, body horror, biopunk, oil on canvas, creative design, by zdzis?aw beksinski, marco mazzoni, peter gric",14350
91,"hyperrealistic close up studio portrait of aging old Bill Clinton age 85 wrinkled weeping, oil painting by Ivan Albright and Lucian Freud and Ron Mueck, trending on artstation Studio lighting hyperrealism",8732
92,"hilary clinton super excited to be working at subway, sarcastic, by norman rockwell hyperrealism 8 k",10902
93,art by claire wendling,32753
94,"portrait of gollum, cyberpunk, artstation, art by petros afshar, tom whalen, laurie greasley and greg rutkowski and ilya kuvshinov",8015
95,wedding cake knife slice with blood dripping from the slice into a contract in a surrealistic style,37335
96,"clay head of pepe the frog, 3d sculpture, textured, fine detail, lifelike, photo, high resolution",6233
97,human blood splattered over lego set,42212
98,"old photo, undeniable evidence of ghosts",27552
99,"portrait of lovecraftian smiling jerma, surrounded by beams of light dark background by wayne barlow, stanley donwood, anton semenov, zdzislaw bekinski, hr giger, 8 k, fantasy, dark, highly detailed",13492
100,"The blood dimmed tide is loosed and everywhere the ceremony of innocence is drowned, painted by Diego Velazquez",4668
101,"1 9 3 0 s blues singer mouthless joe munson, creepypasta, kodachrome, highly detailed, intricate, liminal, photorealistic, digital illustration, trending on artstation, dark, gritty, beautiful colors, 4 k, ink",22596
102,"bella thorne, hyperrealistic full figure, bladerunner street, art of elysium by frank frazetta, fantasy art, photo realistic, dynamic lighting, artstation, full figure poster, volumetric lighting, very detailed face, 4 k, award winning",20726
103,obese hillary clinton eating a hotdog,12643
104,a pizza portal to another dimension,30301
105,"a marionette puppet hanging limp with blood running from his eyes, 2 d sketch in pen, highly detailed, horror themed, stark light and shadows",32513
106,"horrifying demon, realistic",9961
107,"donald trump wrestling stormy daniels on a bed directed by wes anderson, cinestill 8 0 0 t, 1 9 8 0 s movie still, film grain",18775
108,"tattoo of adolf hitler and coat of arms of ukraine many details, super realistic, high quality, 8 k",37236
109,drawing by hanco kolk,25033
110,D Day pillow fight,21738
111,"facehugger shaped bikini, detailed, unreal engine 5, 8 k",41003
112,UFO crashing into Twin Towers,29686
113,"a ugly baby in floor inside a dark house, surrealism",17980
114,"comic cover art of a goblin horde, facing the viewer, dnd, high fantasy digital illustration, by jenny frison and sana takeda, intricate details, stunning inking lines, flat colors, 4 k, hd, artstation",22998
115,"two demons dance ballet in hell with ethernet cables wrapped around their arms, trees burning in the background,, beksinski, dariusz zawadzki, very coherent symmetrical artwork. cinematic, hyper realism, high detail, octane render, 8 k",12658
116,a pencil drawing of an abyss 1970s,37200
117,belle delfine ahegao face by alfonse mucha and wlop,30568
118,"hyperrealism, melting  monster hiding in the flowers, broken mirrors reflections, calm red colors, soft light, in style of classicism",11057
119,"3 d modeling hillary clinton in blender tutorial, painted by rene magritte",18730
120,"outdoor lighting, soft pastel lighting colors scheme, soft blur outdoor lighting, fine art fashion photography",42974
121,"photos someone took, from a film found",30850
122,"emma stone, painting by rossetti bouguereau, detailed art, artstation",39859
123,"black on white graphic design typography stickers in style of david rudnick, eric hu, acid, y 2 k",18219
124,"7 0 s film still from a horror movie of cloris leachman suffering from radiation induced moist desquamation, kodachrome, cinecolor, cinestill, film grain, film texture, retro, cinematic, high resolution, photorealism,   w 8 6 7",28827
125,photo of the devil by hieronymus bosch and joel peter witkin,16646
126,death start trenches,2622
127,"an pizza in the style of wayne barlowe, gustav moreau, goward, bussiere, roberto ferri, santiago caruso, luis ricardo falero, austin osman spare",35646
128,"megan fox sticking her tongue out. hyperrealistic portrait, photo realistic, poster, artstation, volumetric lighting, digital art, very detailed face by sam carr and by richard meril",47046
129,"zombie drinking brains coffee logo, take away coffee, by mcbess, full colour print, vintage colours, lightning bolts, 1950s",2871
130,reptile mummy monsters in a glowing ancient tomb. pulp science fiction. dark background,35907
131,mfw no more weed,43668
132,a massive supernova sending shockwaves all around the universe. retro minimalist art by jean giraud.,21802
133,"Justin Trudeau getting smacked by a giant bodybuilder Obama, By Beeple",49810
134,"a very beautiful face photo of a young asian woman in the style of martin schoeller, award winning photography",44872
135,"portrait skull and devil talking to each other perfil, art by greg rutkowski, intricate, ultra detailed, photorealistic, vibrante colors, colorful, trending on artstation, 4 k, 8 k",29803
136,"a photo of a shirtless, muscular, mike pence, holding a baseball bat with both hands. professional photo shoot.",32858
137,vladimir putin in the movie matrix,7105
138,"A gangly humanoid monster running towards a person sleeping in a bed, trending on Artstation, Digital Painting, Insanely Detailed, Award Winning",4541
139,a painting of a woman hugging a monster while in bed ; framed pictures of monsters on the walls,19662
140,"ozone, minimal digital art with shapes. no text, no watermarks, music album art.",44178
141,"female diamond body, realistic, 8 k, extremely detailed, cgi, trending on artstation, hyper   realistic render, by greg rutkowski",27812
142,"aurora aksnes traditional corsican, intricate, highly detailed, artstation, illustration, jurgens, rutkowski, bouguereau",46217
143,"todd solondz, high quality high detail graphic novel of todd solondz, clear sharp face of todd solondz, night, by lucian freud and gregory crewdson and francis bacon,",30405
144,"a goblin broccoli monster, symmetrical, digital art, sharp focus, trending on art station, anime",33799
145,gary coopers as pepe the frog by norman rockwell,16786
146,"zombie harley quinn, character sheet, concept design, contrast, kim jung gi, greg rutkowski, zabrocki, karlkka, jayison devadas, trending on artstation, 8 k, ultra wide angle, pincushion lens effect",49379
147,"draconic humanoid, pudica pose gesture, by renoir, in a white room, ultra   realistic and intricate, hdr 8 k",7919
148,fire station flame embroidered patch retro design,34645
149,"beautiful photo of a flamingo with opal pattern feathers, upclose view of head, 4 k, photorealistic, detailed, multicolor opal pattern, photographed by marina cano",3289
150,security footage of ronald mcdonald robbing a bank with a gun. award winning. very high quality. hq. hd.,35025
151,"a bear wearing jean shorts!, fantasy concept art, detailed",40188
152,"bright realistic todd solondz, anorexic, diffuse lighting, fantasy, intricate, elegant, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, art by francis bacon",24233
153,"photo of a big cockroach taking a bath in a soviet bathroom, neo   gothic, gothic, rich deep colors. beksinski painting, from a movie by david cronenberg. art by takato yamamoto. francis bacon masterpiece. realistic detailed image",36683
154,a photograph by vanessa beecroft,16298
155,oil painting scene from street fight  by kim jung gi,16501
156," board with  runic tattoos designs for an armour glowing intermittently , views front side and rear, colorful ideas, vibrant hipersaturated satin HDR 4K Dolby Vision, Travis Charest style",12779
157,"Portrait of George Soros as darth sidious from star wars, splash art, movie still, cinematic lighting, dramatic, octane render, long lens, shallow depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain",37326
158,"high quality high detail painting of todd solondz portrait by lucian freud and jenny saville, hd, photorealistic lighting",20031
159,pale japanese undead woman,15535
160,"donald trump in attack on titan, medium shot close up, details, sharp focus, illustration, by jordan grimmer and greg rutkowski, trending artstation, pixiv, digital art",4673
161,"the most creepy family photo of robots, 200mm lens, post apocalyptic, sadness, depression, screaming, crying, auschwitz camp",45049
162,hitler made of jelly | 3 d render | trending on artstation | photorealistic,25216
163,"emma watson photo in the style of sam haskins, on the bed around the flowers",7393
164,vintage photograph of a group of gnomes dressed up as the mafia,25046
165,"an alien. angled jaw, snarling, omniverous layered teeth, nostrils on the forehead, smooth bioluminescent skin, hunter gatherer holding an obsidian spear, mid length portrait photograph, highly detailed, high contrast lighting",36944
166,"whimsical freaky creature sings a unique canto about'as above so below'being ignited by the spirit of haeckel and robert fludd, breakthrough is iminent, glory be to the magic within",44374
167,beautiful professional romantic portrait photo of donald trump kissing donald trump.,7338
168,"George Soros by Ralph Steadman, illustration, body horror, biopunk",2814
169,"a bed with teeth, horror illustration",35667
170,hand covered in boils and spots,13686
171,  a therianthrope made out of dark matter in the style of alex grey   cinematic lighting 8 k octane render,44239
172,donald trump as a knight,20768
173,how to 3 d model 1 9 9 0 s hillary clinton for beginners blender tutorial,44553
174,"a beautiful and terrifying new creature from folklore, smoke and shadow, glowing eyes and mouth. clear detailed view. ethereal fantasy art by greg rutkowski",14945
175,"george soros as a ancient vampire, cinematic key light ultra realistic, photorealism, dramatic volumetric lighting award winning 8 k ray tracing",16540
176,award winning photo of me banging your mom from your perspective 4 k ultra realistic,6710
177,"adolf hitler as solid snake in metal gear solid 2, playstation",30276
178,a selfie of a young man with a jewfro and round glasses,43961
179,A man wearing a Donald Trump mask at a party. Polaroid photo,12344
180,"wild emotion monsters repressed in the deep sea of unconscious of the psyche, about to rip through and escape in a extraordinary revolution, painted by ronny khalil",24681
181,"A monster under the bed, horror, creepy, dark, manga, hq, pencil, inspired by junji ito, superior quality, masterpiece",1672
182,dream! dream!! dream!!! dream!!!!,20560
183,"singer divine as a zombie, 7 days to die zombie, fine art, award winning, intricate, elegant, sharp focus, cinematic lighting, highly detailed, digital painting, 8 k concept art, art by guweiz and z. w. gu, masterpiece, trending on artstation, 8 k",26189
184,"the horn of abraxas, pure evil, 8 k, cinematic",16598
185,"giger, trending on deviantart",26485
186,"beautiful still from retro snes arcade game featuring gene kelly demanding a refund on undercooked overpriced dinosaur steak in downtown dive bar bistro, hyperreal detailed facial features and uv lighting, retro nintendo bitmap pixel art",44575
187,"portrait of an anlien, 4 k, photography, highly detailed",20894
188,"grunge painting of creepypasta with a wide smile and a red balloon by chris leib, loony toons style, pennywise style, corpse bride style, horror theme, detailed, elegant, intricate, conceptual, volumetric light",20670
189,"studio head shot portrait of magda kopera, studio lighting, hd, hdr, ultra detailed, high resolution",45398
190,"kawaii swat team, colorful fuschia, portrait photography, highly detailed, realistic",38035
191,"thrash metal album cover in the style of roger dean, realistic, sharp focus, 8k high definition, insanely detailed, intricate, elegant, art by virgil finlay and philippe druillet",49760
192,amber heard on cute underwear on a queen size bed,8589
193,pepe the frog smoking weed,43245
194,"perky yael shelbia on bed. symmetry face, fine details, intricate, elegant, illustration, matte, art by wlop and artgerm and greg rutkowski and alphonse mucha and kidmo, raytracing, octane, unreal engine, trending on artstation",27921
195,"human cat hybrid, 3 d render, male",22680
196,huge detailed standing in wasteland in style of zdzis?aw beksinski,2697
197,"abstract entities pointing at a man, creepy, eerie superintelligent aliens",11518
198,"portrait of rabbit, demon eyes, dracula fangs! haunted house, dark atmospheric",480
199,"dozens of big hairy strongmen in shorts in a forest, cuddling and kissing, photography, high details, epic, high resolution",1937
200,"face shredded like paper news scared, dark horror, surreal, illustration, by ally burke",25502
201,"studio photo of a young brazilian woman with bushy eyebrows, thick lips, looking at the camera, wearing a camisole, low contrast, octane, arney freytag, Fashion photo shoot, glamorous, tattoos,shot in the photo studio, backlit, rim lighting, 8k",10411
202,"Portrait of a nightmare terror by Utagawa Kuniyoshi and Stephen Gammell, blacklight, blacklight paint, ultraviolet",45337
203,"a scary female clown laughing, directed gaze, full   body and head view, highly detailed, zeronis style, artstation, soft light, sharp focus, illustration, character design, concept art",26076
204,M.C. Escher two hands drawing each other with a pencil,14645
205,"a surreal, very very detailed painting of a living room where the floor, the walls, and everything else covered in hillary clinton's face",17913
206,"Portrait of Igor Ivanovich Strelkov while he is calling for war mobilization, photo realistic, 2K, highly detailed, bodyhorror by H.R.Giger, tends to have fractal structure",25421
207,meme from the year 1 9 4 2,36164
208,"award winning photo of ANOREXIC ROBERT BARRET EATING A PIG, vivid colors, happy, symmetrical face, beautiful eyes, studio lighting, wide shot art by Sally Mann & Arnold Newman",25302
209,"oil portrait of one fat filipino teenage boy smiling with crooked teeth, with a curly perm, and with small studded earings, 4 k, photorealistic, high detail by leonardo da vinci",34987
210,adolf hitler marrying tim cook and bill gates in front of auschwitz concentration field arbreit macht frei,445
211,"Painting, Creative Design, Depression, Biopunk, Body horror, by Marco Mazzoni, Francis Bacon",10441
212,"¡° our humanoid descendants in the year 2 2 0 0 taking a selfie on their sci   fi planet, award   winning details ¡±",32871
213,vladimir putin in pokemon,11812
214,"amber heard poops on a bed, motion blur, real life, spotted, leaked, ultra realistic face, accurate, 4 k, movie still, uhd, sharp, detailed, cinematic, render, modern",21494
215,"a portrait of a good   lookiung brazilian boy god,, high detail, cleary see face, by gaston bussiere, bayard wu, greg rutkowski, odd nerdrum, maxim verehin, dan dos santos, masterpiece, sharp focus, cinematic lightning   h 7 6 8",7173
216,"man grabbing a womans waist, making love, photorealistic painting",25200
217,"portrait of mutant with horn in form of hand, anime, transplanted hand to head, surgery, bump in form of hand, growth on head, hippo",32201
218,characters from gummo sitting in a dirty bath tub with bacon taped to the wall,39673
219,"young harry styles plays mowgli in the live action adaptation of the jungle book, 3 5 mm photography, highly detailed, cinematic lighting, 4 k",19641
220,"a straight smooth vertical tube with the texture of human skin, highly realistic, hyper real, 4k, Octane render",3267
221,"a gorgeous female with short hair, photo by mert alas, mert and marcus, realistic, full body shot, wide angle, sharp focus, 8 k high definition, insanely detailed, intricate, elegant, floating embers",16757
222,Go to bed. Horror photo in surrealist style.,31184
223,"group of creep children staring out, black and white character portrait, ultra realistic, concept art, intricate details, war, cinematic, highly detailed by louis wain",6837
224,"Steve Urkel scared in a graveyard, creepy, spooky, horror, ink, illustration, Stephen Gammell",11511
225,"high resolution 8k, close up portrait photograph of aTsunade, dressed in bikini, standing near the beach, vogue photoshoot",40778
226,"skeleton with diablo demon anubis demon head with cybernetic enhancement with some flesh seen from distance, scifi character potrait by greg rutkowski, esuthio, craig mullins, artstation, 8 k, dark, evil",34380
227,man made of oil 3 d render,22162
228,"a broken toy, crime scene, investigation, evidence, crime photos, night",7401
229,"a photo of a cat chasing a terrified dog, disposable film",26219
230,"Angela merkel wipes the kitchen floor. Detailed digital art by greg rutkowski, Thomas kinkade, Keith Parkinson, artstation, cgsociety, deviantart, 8k, HD",32035
231,"cactus, plush, Totoro, soft render, dreamlike, pastel Ilya Kuvshinov",9829
232,"embryology of a teletubbie, scientific drawing",15887
233,a still photo of sadako from the ring movie playing baseball colored,49335
234,"An anime Nendoroid figurine of Donald Trump, fantasy, figurine , product photo",29875
235,a guy hugging a vladimir putin picture,2753
236,gollum rageface meme,38466
237,"scientific accurate ghost, realistic, National geographic",17989
238,"multiple faces shredded like paper news, dark horror, surreal, drawing, painting,",10687
239,"gullivera with clothes, octane render, by milo manara, 3 d",6453
240,"photo of a classroom, the floor is flooded with one meter deep red water. eerie",27931
241,an x ray of a baby trapped in a woman's stomach by zdzis?aw beksinski,38469
242,Doja Cat zombie eating a brain,44850
243,"black and white outline painting of man screaming with fear, another man coming out of his mouth, recursive, fractal, creepy, Giger, Escher, Mandelbrot, perfect face, realistic, hyper detailed",29443
244,"a single crushed red plastic cup on wet sidewalk as a classical painting, oil painting, epic lighting, dramatic composition, night, dusk, in the style of van gogh",16777
245,"Sonic the Hedgehog by Zdzis?aw Beksi¨½ski, intrincate, detailed, dark, moody, creepy",41876
246,"a renaissance oil painting by Alma Tadema of Demonic palm hand with long vampire nails, dark red nail polish, colourful pastel trending artstation, detailed portrait academic Bouguereau caravaggio high shadow contrast, sharp focus medium shot",20466
247,a surreal painting of a woman hugging a monster while in bed,38885
248,"justin trudeau in gta v, cover art by stephen bliss, artstation",48696
249,"rows of cloaked figures. graveyard. eerie, somber tone. by zdzis?aw beksinski. surreal architecture, bizzare landscape, precisionism",15954
250,"the awakening. battle angel alita. by rembrandt 1 6 6 7, illustration",44967
251,"hyperrealism, portrain of red  skinned woman in white sheets, soft light, in style of classicism",32935
252,"¡°Frank Drebin arresting Hillary Clinton, sharp, UHD, detailed¡±",35284
253,"Beans, what the fuck",2002
254,": president biden and freeza, anime cartoonstyle, dragonball z",11381
255,illustration by mel ramos artstation hyper realistic 4 k poster,14443
256,a ghost in gloomy woods pencil sketch,32051
257,"the body floating, terror silent hill game poster printed on playstation 2 video game box , Artwork by Sergey Kolesov, cinematic composition",33813
258,"James Sunderland from Silent Hill 2 dressed as a clown standing in a foggy street, intricate, elegant, sharp focus, illustration, highly detailed, digital painting, concept art, matte, art by Masahiro Ito",41569
259,"a macro photo of a round peach's dry hairy skin, hyper realistic, hyper detailed, 35mm, very grainy film, pink volumetric studio lighting, bokeh, black background award winning shot, vogue magazine, cinematic, 8k, very closeup, elegant, tender, pastel",2178
260,"a portrait of a girl skull face, mickey mouse, in the style of artgerm, charlie bowater, atey ghailan and warhol, vibrant colors and hard shadows and strong rim light, plain background, comic cover art, trending on artstation",45342
261,"¡° psychedelic sloth, digital art, trending on artstation, incredibly detailed, vibrant, award winning, lsd, intricate ¡±",47854
262,"photo portrait of Bobby Lee, black and white, Kodak Ultra F9, 35mm",18704
263,"portrait photo still of real life totoro, 8 k, 8 5 mm f 1. 8",26894
264,"final fantasy black mage firaga by sachin teng x squaresoft x studio ghibli : 7 dripped out, stylish, designer, ether, asymmetrical, matte painting, geometric shapes, hard edges, graffiti, street art, masterpiece, impressive detail : 7",36305
265,"portrait photograph of beautiful business professional laughing with empty eye sockets by feng zhu, accurate details, intricate, ceoncept art, smooth, hyper realistic, vibrant colors, cinematic, 3 5 mm grain filter, artstation",28301
266,a woman who is a combination of emma watson and kim kardashian,15340
267,photostock of a middle aged man embarrassing everyone with a dad joke,5495
268,"an awkward selfie, taken on iphone 1 3 pro, instagram,",39050
269,"tintype photo, swimming deep underwater, kid with huge spider",38708
270,"medium shot 1 9 5 0 s retro cactus robot, bionic arms and eyes. muted colours. by jean   baptiste monge",37506
271,"cult members performing a ritual in capes by magali villeneuve, artgerm, greg rutkowski, digital art, sharp focus, award winning, intrecate details, 4 k,",35520
272,"falling into madness, charcoal drawing, sketch",11011
273,"demonic nikes, metapod alien, octane render, very sharp, maurice sendak, beksinski, quint buchholz, charlie bowater, pranckevicius",14734
274,"a single beautiful sexy woman photo with a perfect face and anatomically correct body, with untied bikini, bent over, full body shot, in the style of spring break",24312
275,a text collage portrait,38631
276,"pattern of varying colors, by jenny saville",26968
277,"A scene from a horror movie, with a close up of a victim's face, covered in blood, with the murderer's hand reaching out from the darkness, by Justin Gerard and Greg Rutkowski, highly detailed, sharp focus, elegant, illustration, 15mm lens, 4K",28423
278,very old photo of a ghost,9302
279,"devil's dance by anna podedworna, ayami kojima, greg rutkowski, giger, maxim verehin",9175
280,"a group of people robbing a bank. they are armed with guns and have masks on to hide their identities, are surrounded by police cars with their lights flashing, but the robbers are confident",48709
281,attractive fully clothed donald trump confesses his love for his attractive roger stone. highly detailed painting by gaston bussiere and j. c. leyendecker 8 k,24756
282,"hieronymus bosch, greg rutkowski, anna podedworna, painting of thousands of white blobs with red hair laughing at a female vampire clown in a vr headset",29743
283,hypertealistic painting portrait of squidward from spongebob,12394
284,"a perfect hyperrealist colour painting of a man at a desk, his head has burst open and a bouquet of dogs and frankfurters has erupted from his shattering skull. he is coated in one inch thick foaming saliva. perfect studio lighting.",17178
285,"wide shot very low angle eyesight photo of stray cat and a banana peel at the street in New York, polaroid photo, by Andy Warhol, signed",36925
286,black and white pencil sketch of a girl bending and crying into her arms in a bathroom,42404
287,husband after cheating,30477
288,milt kahl sketch of zombie apocalypse resistance camp with barbed wire fencing,1913
289,"die antwoord chappie, back and white, zef design graffiti in the background, dark lighting, digital art",43726
290,family photo of ronald mcdonald,14442
291,"donald trump, magic city nightclub, award winning, flash photo, paparazzi,",40006
292,"hillary clinton shaking hands with princess leia on the forest moon of endor, the return of the jedi, 3 5 mm photography, highly detailed, cinematic lighting",43828
293,zdzis?aw beksi¨½ski best artwork,48119
294,"charcoal action   drawing of a woman cooking, chopping vegetables, dramatic",40144
295,"realistic photo portrait of a three young scientists wearing white shorts, cone heads, holding clouds on their faces covered 1 9 9 0, life magazine reportage photo, natural colors",16051
296,"Horrifying creature, horror",33938
297,"ultra realistic face punch, realistic movement, hyperrealism, 8K",19
