image_id,source,prompt,seed
468858,coco-30k,An old floor standing tv next to a leather couch.,71695
104381,coco-30k,A car stopped at a traffic light with it's brake lights on.,97248
525667,coco-30k,People standing around a park bench next to a bicycle.,35295
549386,coco-30k,A man standing outside of a building next to bicycles.,59157
237920,coco-30k,Empty seats in front of a building on a sidewalk.,63329
155997,coco-30k,A dog rides in a cart pulled by a man on a bike.,2438
5879,coco-30k,Two bicycle riders riding in the city at night.,90436
93959,coco-30k,A white kitchen with marble countertops and stone floors.,94645
251075,coco-30k,A bathroom with a vanity mirror toilette and kitchen sink next to a shower.,26084
281950,coco-30k,A lone toilet sits in a large bathroom.,69399
370210,coco-30k,Two dogs in a car looking out the window.,72155
531111,coco-30k,A bathroom with a black and white checkered floor.,56732
499177,coco-30k,A man riding a dirt bike on a country road in a forest.,33001
75118,coco-30k,A fighter jet doing tricks with smoke trailing behind it.,37667
90732,coco-30k,A little girl is mixing in a  kitchen bowl while standing on a chair.,12361
301574,coco-30k,three motor cycle racers posing on their parked bikes,41815
241876,coco-30k,A cat on the lid of a toilet looking perturbed.,15004
34474,coco-30k,A home with lots of wood darkly stained.,32637
364113,coco-30k,Two people riding different colored horses down a dirty road.,44111
79920,coco-30k,A living room with a large tv and pictures all around.,81763
494629,coco-30k,A man sits on a toilet while working on his computer at his desk.,12466
61422,coco-30k,A bathroom with a sink and a toilet. ,94595
44652,coco-30k,A flying plane with smoke trailing behind it.,19308
210502,coco-30k,Part of train car with a door to the rear connected to the car behind it,51325
146961,coco-30k,A man is cooking in a crowded kitchen.,44170
9288,coco-30k,A toilet in a restroom next to a toilet paper dispenser,52285
136783,coco-30k,A rock wall next to a green tiled room.,54987
120157,coco-30k,A toilet bowl with no toilet seat in a restroom,71417
193680,coco-30k,Full grown cat laying down and sleeping on top of a car. ,15400
298396,coco-30k,Kitchen area with counter top space and dining room table. ,14390
565635,coco-30k,two lines of motorcycles driving down the road while a crowd watches,39890
561780,coco-30k,A group of older people sitting on a park bench with a dog on a leash.,31219
187513,coco-30k,A bathroom with a sliding shower door next to a toilet.,30354
230600,coco-30k,A toilet on the outside of a building next to a parking meter.,49199
552883,coco-30k,"A view of a kitchen with cabinets, a sink and a clothes washer.",1721
69293,coco-30k,"The bathroom toilet with the cover up, sink, and bathroom items are shown.",76545
369979,coco-30k,Several pieces of art and a painting on display,11217
21711,coco-30k,Motorcyclists and a bicycle are parked on a yard.,64958
293153,coco-30k,The sightseeing boat streams along the river joined by a plane,61324
20788,coco-30k,A woman hovering over food on a wooden table.,29479
228214,coco-30k,A Marine that is looking at his cell phone.,44841
424378,coco-30k,A man with glasses riding in a car with an adorable dog in the backseat.,11012
400456,coco-30k,A man riding on the back of a brown horse in front of a truck.,90092
186697,coco-30k,A peson riding a bike down a long narrow road.,81179
336384,coco-30k,An airliner taking off from an airport runway.,77880
154419,coco-30k,A dog wearing a protective cone around it's head watching TV.,16050
331366,coco-30k,A man riding a bicycle down a sidewalk.,61946
251639,coco-30k,A cat sniffing an upside down blue bicycle.,11792
372113,coco-30k,A celebration with cake for Navy members stationed in Thailand,30267
554625,coco-30k,a boy wearing headphones using one computer in a long row of computers,27322
453634,coco-30k,A bathroom with a toilette with it's seat down.,27268
297414,coco-30k,A kitchen filled with dishes and appliances with lots of cupboards..,11022
412693,coco-30k,Two adorable birds perched on a piece of bamboo.,4544
442609,coco-30k,A messy kitchen with pots and pans laying around.,71272
132901,coco-30k,A man and a woman standing next to a motor cycle.,26846
75101,coco-30k,A large bathroom with an enclosed toilet and a large sink.,56005
493753,coco-30k,An office desk holding multiple computers and various supplies.,71044
521906,coco-30k,A man wearing a striped suit standing next to butcher knives.,82626
353982,coco-30k,A woman sitting at a table while holding a pair of scissors.,23695
85316,coco-30k,An old picture of a family on their farm.,8004
201775,coco-30k,A bathroom with two urinals and a sink.,63220
527260,coco-30k,A kitchen cluttered with dishes with a stove and oven.,929
85145,coco-30k,An airplane flying in a blue sky with it's landing gear down.,49328
533900,coco-30k,A wooden bathroom with a wooden toilet next to a window.,91007
102735,coco-30k,Dog in parking lot and on a leash.,49060
56752,coco-30k,Man on a bicycle riding on the road next to a river.,84031
391375,coco-30k,A girl sitting on a bench in front of a stone wall.,60768
522137,coco-30k,Three Mercedes Benz on the top of a train as cargo ,21115
544713,coco-30k,A man sitting on a parked motorcycle on the street ,82340
448151,coco-30k,A birthday boy with car shaped cake and candles on it.,27392
537955,coco-30k,A brown dog standing on the kitchen floor looking up.,21474
557501,coco-30k,A bathroom is very colorful with blue yellow and red.,25275
327565,coco-30k,A collection of photos of an old motorcycle and parts.,74967
411564,coco-30k,A man sitting in a window ledge with a cell phone in his hand.,17262
438258,coco-30k,A little girl in ponytails holding on to a teddy bear.,38461
435880,coco-30k,A refrigerator next to a red wall in the kitchen. ,58673
555050,coco-30k,"A car driving in an intersection, past a furniture shop. ",12451
306444,coco-30k,A bathroom scene with focus on the toilet.,7448
139440,coco-30k,Six people in a boat rowing on a body of water.,56982
401411,coco-30k,A chef in a kitchen preparing a meal.,23006
31519,coco-30k,A group of rescue workers helping an overturned car,46136
220255,coco-30k,A large commercial airplane sitting on the runway.,43305
383601,coco-30k,A toilet with an object hanging off of it.,13833
154324,coco-30k,An empty bathroom with a shower next to a toilet.,49236
368978,coco-30k,A four engine jet transport airplane flying low.,15612
466085,coco-30k,A bathroom that has been gutted with the shower basin the only thing left.,34729
237428,coco-30k,A blonde woman sitting on a park bench next to a green bike.,75142
5802,coco-30k,Two men wearing aprons working in a commercial-style kitchen.,58071
272015,coco-30k,A park bench in front of a porch in a green grass filled park.,23299
108283,coco-30k,A rotten door leading into a restroom covered in filth.,11621
360673,coco-30k,A group of motorcycles parked side by side in front of a donuts shop.,83658
465877,coco-30k,A chef in a kitchen standing next to a counter with jars and containers.,50020
524954,coco-30k,A urinal is displayed with modern porcelain structuring.,45000
242363,coco-30k,"A bathroom with a sink, toilet and shower bathtub combination.",95062
488943,coco-30k,A European street scene with a motorcycle and a car.,36351
396673,coco-30k,Two large commercial airplanes sitting on the runway.,55018
8218,coco-30k,A building with a black and gold clock on it.,59338
140307,coco-30k,A group of people sitting around a table under an umbrella.,17056
27065,coco-30k,A towel hangs beneath a sink in a bathroom.,25319
442009,coco-30k,a bathroom with a bath tub near windows,7211
264599,coco-30k,A crowded city street with lots of people walking around.,85110
332653,coco-30k,A man stands next to a motorbike on some pavement.,99668
239252,coco-30k,An elaborate contraption on a water faucet for a bathtub.,68425
506906,coco-30k,Two cups of black coffee sitting next to a coffee pot. ,49696
34196,coco-30k,Two desktop computer monitors sitting on a desk with a keyboard and mouse.,98292
260627,coco-30k,A commuter train traveling down train track next to a rural road.,1323
13466,coco-30k,Two street signs are shown against more buildings.,8794
262514,coco-30k,A display of a toilet and sink in a store. ,54251
352151,coco-30k,a plane on an air port run way,34026
127987,coco-30k,A baseball player bobble head next to two computer monitors on a desk.,69917
57703,coco-30k,A man and two women walking their dogs and hiking in the woods.,10370
199951,coco-30k,a person riding a motorcycle on an enclosed road,51591
525420,coco-30k,A bathtub is beneath a torn down wall.,65821
567220,coco-30k,"An open door leading to a bathroom toilet, with a shower rack and bureau visible.",29285
236535,coco-30k,A small plane is taking off from a grassy field.,32084
568893,coco-30k,"A hotel room with a flat screen tv, chair, and bed. ",84139
62483,coco-30k,A young soldier has his picture taken with a young lady with an open jacket and brazier showing.,41120
137967,coco-30k,A cubicle desk with two laptops on it. ,49197
580255,coco-30k,Two big dogs ride beside one another on the same vehicle seat.,15245
99389,coco-30k,A motorcycle parked in front of a graffiti covered building.,27673
152649,coco-30k,A jumbo jet airplane in flight on a sunny day.,13761
294832,coco-30k,A bathroom with an enclosed shower next to a sink and a toilet.,85681
499281,coco-30k,A kitchen with a bag from Whole Foods on the counter. ,52184
73280,coco-30k,a brown and white kitchen with a silver refrigerator,7469
176828,coco-30k,A airplane banking to the right as it ascends into the sky,63501
288639,coco-30k,A calico cat drinking water from a running tap in a bathroom.,71120
420490,coco-30k,A kitchen with an island and window over the sink.,2112
528729,coco-30k,A man talking on a cell phone walking an orange bike across a street.,21961
196047,coco-30k,a bathroom with a toilet and a bath tub,69806
147042,coco-30k,"A kitchen refrigerator with numerous pictures held up by magnets, next to counters and a dining table and chairs.",80312
50411,coco-30k,A mounted police officer riding down a city street past parked cars.,66752
43771,coco-30k,A bathroom containing a toilet and a sink.,81133
120021,coco-30k,A motorcycle with a red seat is on top of a stand. ,28927
27517,coco-30k,A person holds a flip phone displaying the screen.,97884
92678,coco-30k,A couple flying a kite at dusk on the seaside.,71975
175942,coco-30k,A street view with a plane flying ahead.,78653
279343,coco-30k,A group of fighter jets sitting on an airport tarmac.,57308
486521,coco-30k,A hood lifted on a Chevrolet vehicle with a teddy bear on the side.,81849
564003,coco-30k,A restroom stall with a white toilet and a toilet paper dispenser.,44940
283910,coco-30k,A group of sheep being herded by a black dog.,64205
497099,coco-30k,A room filled with bathroom sinks and bath tubs.,32974
318361,coco-30k,a girl sitting at a kitchen table in a home,50376
115229,coco-30k,A  lawn sitting on a snowy sidewalk by a hydrant.,97276
148766,coco-30k,some white and blue porcelain designer toilet bowls,21258
562090,coco-30k,A bathroom with all black fixtures in it.,41285
166003,coco-30k,A small room with a heater and a desk filled with clutter.,54682
136793,coco-30k,a toilet a toilet paper roll and a newspaper,54505
368335,coco-30k,a brown horse is walking in between two cars,85742
383777,coco-30k,A man in hipster clothes straddling a bicycle on the sidewalk.,80269
422326,coco-30k,A modified motorcycle parked with other motorcycles on the pavement.,69725
162280,coco-30k,A small bathroom with focus on the shower curtain.,55642
211491,coco-30k,An older woman sits in a sweater at the beach.,1308
160345,coco-30k,A man is sitting on a bench reading a book.,38224
231236,coco-30k,A beige tiled bathroom with white fixtures and a mirror.,1350
264964,coco-30k,A pile of feces sits on the back of a public restroom toilet.,89011
28389,coco-30k,A plane parked next to a truck next to a house.,9645
423798,coco-30k,A street at night is lit up by streetlights.,89455
307993,coco-30k,a man is reading a book in a car with a small dog,54622
351711,coco-30k,A motorcycle parked next to a bunch more with a plastic sign in front of it.,57917
449279,coco-30k,Three birthday candles stand lit on a cake.,77092
140420,coco-30k,A motorcycle is parked on a dirt road in a forest.,46098
386613,coco-30k,An older floor light sits deserted in an abandoned hospital.,30039
391132,coco-30k,A bowl of peeled oranges sitting on a white bowl on a kitchen counter.,96145
204186,coco-30k,Racers riding four wheelers while a crowd watches.,42879
421195,coco-30k,A combination of black and white sheep grazing in a meadow,76418
555983,coco-30k,A blurry motion picture of a person doing a wheelie on a motorcycle.,68131
544975,coco-30k,Wild animals grazing near a lagoon surrounded by trees.,30885
370165,coco-30k,A person on a motor bike doing a wheelie jump,51053
514537,coco-30k,A wild animal drinks water from the toilet bowl.,79287
292648,coco-30k,A man in a wetsuit is holding his surfboard on the pier. ,88328
246233,coco-30k,A massive wooden ship beached on snow covered ground.,18637
170232,coco-30k,A bus driving down a street in a small city.,64718
524202,coco-30k,The Space Shuttle is being transported by a NASA jumbo jet.,59073
208169,coco-30k,A large number of people riding motorcycles down the road.,7074
376177,coco-30k,A group of people observing two planes at an air show. ,6908
40471,coco-30k,An older picture of a large kitchen with white appliances.,19558
523953,coco-30k,A young boy stands next to a row of parked motorcycles.,46182
10363,coco-30k,A gray cat standing on top of a black car.,4057
173008,coco-30k,A man in a tropical print shirt with glasses and long hair is eating a banana.,16337
391837,coco-30k,A man sitting on a motorcycle posing in front of a bay. ,57147
118965,coco-30k,A man sitting on his skateboard in a field.,2967
190829,coco-30k,Separate men sitting on park benches playing on phone and reading.,66496
314328,coco-30k,A clean white toilet in a stall with a chrome toilet brush.,72356
538359,coco-30k,A public bathroom sink and hand drying area.,25988
482187,coco-30k,a group of men staring at a cellphone image,57660
452793,coco-30k,A kitchen with a granite counter top and faucet.,30981
538497,coco-30k,There is a urinal and trash can inside a small room. ,11214
172843,coco-30k,An old toilet is transformed into a lawn ornament by adding soil and plants.,86952
140006,coco-30k,Mopeds and bicycles parked next to parking meters.,8526
574145,coco-30k,A new and stylish bathroom with a walk in shower is shown.,43032
456865,coco-30k,An airplane just landed on the runway ,75710
504711,coco-30k,A fork rests on a plate next to a piece of cake.,85346
288584,coco-30k,A person dressed as a giraffe carrying a bullhorn.,91607
546642,coco-30k,A motorcyclist riding down the street with a dog in a basket.,30690
184531,coco-30k,A custom motorcycle sits in a car show,52746
49428,coco-30k,A bicycle is on the shelf in a display,60380
499391,coco-30k,A stove with a frying pan and a teapot on it.,65036
254644,coco-30k,A country charm type of kitchen is equipped with greenery and nick nacks.,65831
325357,coco-30k,Metallic looking container sitting in front of a brick wall. ,18441
283498,coco-30k,Plane on the tar mat of an airport.,25055
107907,coco-30k,Artistic toilet piece sitting in the center of a museum gallery. ,9451
57072,coco-30k,A stainless shiny serrated knife sits in front of a sliced loaf.,52963
526401,coco-30k,A group of motorcyclists driving down the road. ,17557
